GameName,ReleaseDate,Developer,Publisher,Engine
"GYLT "," July 6, 2023 "," Tequila Works "," Tequila Works "," Unreal Engine 4 "
"Divinity Chronicles: Journey to the West "," June 29, 2023 "," Z Studio "," ParasGames "," Unity "
"Sherlock Holmes: The Awakened â Premium Edition "," April 11, 2023 "," Frogwares "," Frogwares "," Unreal Engine 4 "
"VINE "," June 22, 2023 "," FrogParty "," O.T Games "," Unity "
"Afterimage: Deluxe Edition "," April 25, 2023 "," Aurogon Shanghai "," Modus Games "," Unreal Engine 4 "
"A Total War Saga: Thrones of Britannia "," May 3, 2018 ~ July 4, 2023 "," Creative Assembly "," Sega "," in-house "
"Inner Ashes "," June 30, 2023 "," Calathea Game Studio "," Selecta Play "," Unreal Engine 4 "
"Aquarium Designer "," October 21, 2021 "," Sigur Studio "," Games Operators, PlayWay S.A. "," Unity "
"Beneath The Deep "," July 1, 2023 "," Arcodian Games "," Arcodian Games "," Unreal Engine 4 "
"Dungeon Defenders: Ultimate Collection "," October 19, 2011 ~ June 29, 2023 "," Trendy Entertainment "," Trendy Entertainment "," Unreal Engine 3 "
"Pandora "," June 29, 2023 "," Sunset Script "," Sunset Script "," Unity "
"Farming Simulator 22: Platinum Edition "," November 22, 2021 "," Giants Software "," Giants Software "," GIANTS Engine 9 "
"Ravenbound "," March 30 ~ June 29, 2023 "," Systemic Reaction "," Systemic Reaction "," Apex Engine "
"Noob: The Factionless "," June 29, 2023 "," Olydri Studio, Blackpixel Studio "," Olydri Studio, MicroÃ¯ds "," Unity "
"SLUDGE LIFE 2: Soundtrack Edition "," June 27, 2023 "," Terri Vellmann, Doseone "," Devolver Digital "," Unity "
"AEW: Fight Forever "," June 29, 2023 "," Yuke's "," AEW Games, THQ Nordic "," Unreal Engine 4 "
"Dead Cells: Medley of Pain Bundle "," August 7, 2018 "," Motion Twin, Evil Empire "," Motion Twin "," in-house "
"Code Rivals: Robot Programming Battle "," June 27, 2023 "," Leandro B "," Leandro B "," Unreal Engine 4 "
"Car Mechanic Simulator 2021 "," August 11, 2021 "," Red Dot Games "," PlayWay S.A. "," Unity "
"FRONT MISSION 1st: Remake "," June 30, 2023 "," MegaPixel Studio "," Forever Entertainment "," Unity "
