GameName,ReleaseDate,Developer,Publisher,Engine
"The Game of Life 2 "," December 11, 2020 "," Marmalade Game Studio Ltd "," Marmalade Game Studio Ltd "," Unity "
"Gerda: A Flame in Winter "," September 1, 2022 "," PortaPlay "," DON'T NOD "," Unity "
"Divinity Chronicles: Journey to the West "," June 29, 2023 "," Z Studio "," ParasGames "," Unity "
"VINE "," June 22, 2023 "," FrogParty "," O.T Games "," Unity "
"Aquarium Designer "," October 21, 2021 "," Sigur Studio "," Games Operators, PlayWay S.A. "," Unity "
"Pandora "," June 29, 2023 "," Sunset Script "," Sunset Script "," Unity "
"Noob: The Factionless "," June 29, 2023 "," Olydri Studio, Blackpixel Studio "," Olydri Studio, MicroÃ¯ds "," Unity "
"SLUDGE LIFE 2: Soundtrack Edition "," June 27, 2023 "," Terri Vellmann, Doseone "," Devolver Digital "," Unity "
"Car Mechanic Simulator 2021 "," August 11, 2021 "," Red Dot Games "," PlayWay S.A. "," Unity "
"FRONT MISSION 1st: Remake "," June 30, 2023 "," MegaPixel Studio "," Forever Entertainment "," Unity "
"PowerWash Simulator "," July 14, 2022 "," FuturLab "," Square Enix "," Unity "
"A Little to the Left "," November 8 2022 ~ June 27, 2023 "," Max Inferno "," Secret Mode "," Unity "
"Empyrion: Galactic Survival "," August 5, 2020 "," Eleon Game Studios "," Eleon Game Studios "," Unity "
"Dave The Diver "," June 28, 2023 "," Mintrocket "," Mintrocket "," Unity "
"The Simulacrum "," June 24, 2023 "," Trynet Games "," Trynet Games "," Unity "
"DRIFT21 "," June 10, 2021 ~ June 22, 2023 "," ECC GAMES S.A. "," 505 Games "," Unity "
"Kingsblood "," June 21, 2023 "," Icy Forge UG "," Icy Forge UG "," Unity "
"Hot Lava "," September 19, 2019 "," Klei Entertainment "," Klei Entertainment "," Unity "
"Hookah Cafe Simulator "," June 22, 2023 "," Rubbish Game "," Cheesecake Dev "," Unity "
"The Long Dark: Quiet Apocalypse Bundle "," August 1, 2017 "," Hinterland Studio Inc. "," Hinterland Studio Inc. "," Unity "
"Spirit Hunters: Infinite Horde "," June 20, 2023 "," Creature Cauldron "," Creature Cauldron "," Unity "
"The Bookwalker: Thief of Tales "," June 22, 2023 "," Do My Best Games "," tinyBuild "," Unity "
"The Pegasus Expedition "," June 20, 2023 "," Kalla Gameworks "," Fulqrum Publishing "," Unity "
"The Last Hero of Nostalgaia "," October 19, 2022 "," Over the Moon "," Coatsink "," Unity "
"The Game of Annie "," June 13, 2023 "," potentknight "," potentknight "," Unity "
"Escape Academy "," July 14, 2022 "," Coin Crew Games "," iam8bit, Skybound Games Studios "," Unity "
"Tunguska: The Visitation "," June 4, 2021 "," Rotorist Workshop "," Rotorist Workshop "," Unity "
"EFGH: Escape from Garbage House "," June 12, 2023 "," Boujin "," Boujin "," Unity "
"Shaolin vs Wutang 2 "," June 14, 2023 "," Jae Lee Productions "," Jae Lee Productions "," Unity "
"Wizardry School: Escape Room "," June 14, 2023 "," mc2games "," mc2games "," Unity "
"Kingdom of Wreck Business "," June 16, 2023 "," WarZoneLab "," WarZoneLab "," Unity "
"Metro Simulator 2 "," June 14, 2023 "," KishMish Games "," KishMish Games "," Unity "
"House Party "," July 16, 2022 "," Eek! Games, LLC "," Eek! Games, LLC "," Unity "
"Dordogne "," June 13, 2023 "," Un Je Ne Sais Quoi, Umanimation "," Focus Entertainment "," Unity "
"Metal: Hellsinger "," September 15, 2022 "," The Outsiders "," Funcom "," Unity "
"Distraction Machine "," June 10, 2023 "," Miscellaneum Studios "," Miscellaneum Studios "," Unity "
"Sands of Salzaar "," December 16, 2021 "," Han-Squirrel Studio "," XD "," Unity "
"Moonshine Inc.: Supporter Edition "," December 1, 2022 "," Klabater "," Klabater "," Unity "
"The Proponent "," June 9, 2023 "," Two Dogs "," Two Dogs "," Unity "
"I Am Your President "," February 27, 2023 "," President Studio "," President Studio, PlayWay "," Unity "
"Project Lazarus "," June 8, 2023 "," Terapoly "," Terapoly "," Unity "
"Mask of the Rose "," June 8, 2023 "," Failbetter Games "," Failbetter Games "," Unity "
"System of Souls "," June 9, 2023 "," Chaotic Lab "," Gammera Nest "," Unity "
"Beyond the Evil "," June 6, 2023 "," BlackHawk Games "," BlackHawk Games "," Unity "
